PrimaryPropertyType,CouncilDistrictCode,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Agebuilding,NaturalGas_use,Electricity_use,Steam_use
Hotel,CD-7,12,88434,60.0,7226362.5,249.98,89,1,1,1
Hotel,CD-7,11,103566,61.0,8387933.0,295.86,20,1,1,0
Hotel,CD-7,41,956110,43.0,72587024.0,2089.28,47,1,1,1
Hotel,CD-7,10,61320,56.0,6794584.0,286.43,90,1,1,1
Hotel,CD-7,18,175580,75.0,14172606.0,505.01,36,1,1,0
Other,CD-7,2,97288,,12086616.0,301.81,17,1,1,0
Hotel,CD-7,11,83008,27.0,5758795.0,176.14,90,1,1,0
Other,CD-7,8,102761,,6298131.5,221.51,90,1,1,1
Hotel,CD-7,15,163984,43.0,13723820.0,392.16,112,1,1,0
Hotel,CD-7,11,153163,30.0,16016644.0,691.26,47,1,1,1
Hotel,CD-7,25,333176,36.0,26941110.0,740.97,18,1,1,1
Hotel,CD-7,9,65009,48.0,6596057.5,328.23,88,1,1,1
Hotel,CD-7,33,315952,58.0,22325364.0,648.62,36,1,1,1
Hotel,CD-7,11,92190,35.0,10750010.0,511.39,94,1,1,1
Other,CD-7,11,412000,,18588860.0,181.38,12,0,1,1
Other,CD-7,6,103911,,9956396.0,433.86,86,1,1,1
Hotel,CD-7,28,416281,31.0,33556756.0,802.89,33,1,1,0
Mixed Use Property,CD-7,5,57452,,7606084.5,273.02,109,1,1,1
Hotel,CD-7,10,104352,39.0,10154608.0,349.32,100,1,1,1
Other,CD-7,10,540360,76.0,44984468.0,1265.29,100,1,1,0
Other,CD-3,19,385274,,47859812.0,1699.45,31,1,1,0
Hotel,CD-4,6,88592,84.0,3663534.5,90.01,15,1,1,0
University,CD-7,7,126593,,11343686.0,388.04,88,1,1,0
Other,CD-7,2,67224,,1310236.625,9.13,86,0,1,0
Hotel,CD-7,8,158676,,5328051.5,256.57,25,1,1,0
Hotel,CD-7,10,171866,57.0,11061916.0,328.63,15,1,1,0
Hotel,CD-7,5,68410,57.0,4456714.5,128.44,38,1,1,0
Small- and Mid-Sized Office,CD-4,3,87262,,4145920.5,157.77,110,1,1,0
Hotel,CD-4,4,81871,29.0,6668568.5,215.0,22,1,1,0
Self-Storage Facility,CD-4,2,110356,,318364.8125,3.93,61,1,1,0
Warehouse,CD-2,2,714095,,44731160.0,311.84,55,0,1,0
Small- and Mid-Sized Office,CD-6,2,94900,57.0,6186461.5,130.56,55,1,1,0
Small- and Mid-Sized Office,CD-2,2,52554,83.0,2951331.25,83.86,116,1,1,0
K-12 School,CD-6,3,175015,95.0,6994740.5,247.85,62,1,1,0
Self-Storage Facility,CD-7,3,70586,,2158629.0,45.43,105,1,1,0
Hotel,CD-7,24,332210,67.0,16163194.0,295.33,47,1,1,0
Large Office,CD-7,5,168115,78.0,9536161.0,66.48,43,0,1,0
Other,CD-7,2,57428,,1247362.0,33.26,96,1,1,0
Small- and Mid-Sized Office,CD-7,8,59400,14.0,5071974.0,35.36,106,0,1,0
Mixed Use Property,CD-7,2,52549,,15026196.0,584.31,90,1,1,0
Hotel,CD-7,20,98634,71.0,4841347.5,59.19,86,1,1,0
Hotel,CD-7,34,994212,63.0,80469216.0,2451.58,34,1,1,1
Hotel,CD-7,7,71150,98.0,5348309.0,134.38,31,1,1,0
Hotel,CD-7,7,122810,99.0,5401277.5,227.18,108,1,1,0
Hotel,CD-7,5,113173,86.0,5284343.5,144.79,57,1,1,0
Hotel,CD-7,7,150453,84.0,6715187.0,199.95,16,1,1,0
Hotel,CD-7,6,116300,80.0,5827595.5,162.39,19,1,1,0
Hotel,CD-7,6,155602,81.0,6836900.0,152.76,18,1,1,0
K-12 School,CD-3,3,56072,76.0,3234787.75,146.34,105,1,1,0
Hotel,CD-7,4,122942,94.0,5337334.0,171.64,17,1,1,0
Small- and Mid-Sized Office,CD-3,2,54984,71.0,3375211.0,87.98,54,1,1,0
Senior Care Community,CD-1,5,217603,54.0,42792072.0,1727.11,94,1,1,0
Senior Care Community,CD-5,2,93397,1.0,16402563.0,609.1,46,1,1,0
Hotel,CD-7,6,84103,74.0,3706100.25,67.06,8,1,1,0
Medical Office,CD-3,3,179014,48.0,16701055.0,430.84,51,1,1,0
Hotel,CD-3,7,76631,71.0,7258758.5,262.75,108,1,1,0
Mixed Use Property,CD-3,6,99780,,15473117.0,481.97,33,0,1,1
Retail Store,CD-7,2,58320,96.0,1049748.625,39.06,87,1,1,0
Large Office,CD-7,5,316306,96.0,13795954.0,138.85,6,1,1,0
Hotel,CD-3,7,282863,37.0,19459304.0,526.85,26,1,1,0
Other,CD-7,1,389000,,23658978.0,607.41,54,1,1,1
Other,CD-7,1,91213,,8141155.5,344.2,54,0,1,1
Other,CD-7,5,396085,,20955026.0,804.2,78,0,1,1
Large Office,CD-7,12,571329,91.0,39605888.0,617.52,6,1,1,0
Other,CD-7,2,52000,,2726369.0,101.83,54,0,1,1
Other,CD-7,1,60696,,875943.3125,6.11,88,0,1,0
Other,CD-7,2,262048,,20723248.0,490.73,88,0,1,1
Small- and Mid-Sized Office,CD-7,2,66240,,4166306.25,29.04,30,0,1,0
Large Office,CD-7,6,920598,93.0,36667044.0,674.09,6,1,1,0
Small- and Mid-Sized Office,CD-7,4,76213,68.0,3476212.5,48.76,46,1,1,0
Hotel,CD-7,6,96910,56.0,5155568.5,152.14,14,1,1,0
Hotel,CD-4,4,50017,53.0,5448975.0,191.2,54,1,1,0
K-12 School,CD-3,3,67743,34.0,2646879.0,78.85,93,1,1,0
K-12 School,CD-3,6,194104,100.0,6219841.5,243.23,108,1,1,0
Small- and Mid-Sized Office,CD-3,3,99433,63.0,4897760.0,34.14,13,0,1,0
Other,CD-4,4,56521,,6357632.0,44.32,75,0,1,0
Other,CD-4,2,206934,,4253577.5,133.58,87,1,1,0
Hotel,CD-5,4,51390,89.0,3611538.0,127.29,15,1,1,0
Hotel,CD-5,3,69138,78.0,3242458.0,89.02,14,1,1,0
Hotel,CD-7,5,190980,98.0,6505995.0,142.39,112,1,1,0
Other,CD-7,6,284100,,14641502.0,429.12,18,1,1,1
Hospital,CD-6,5,285333,14.0,68090728.0,1990.5,62,1,1,0
